user_name,user_app_rating,user_review_date,company_comment_date,comment,company_answer_check
ㅂㅇㅇ,5,2016년 12월 2일,2016년 12월 9일,잡플래닛이 있어 취준생은 행복합니다ㅠㅠ,answer
이병규,4,2016년 12월 2일,2016년 12월 6일,무슨 기업 공채 지원하면서 참고하는데 보면 죄다 다녀보지도 않은 사람들이 글을 올린 티가 팍팍 나네요 그리고 무슨 면접 후기에 알바 면접후기가 올라오는지... 고초 전문대도 분류가 제대로 되야 연봉정보도 어느정도 신뢰성이 있울거같고... 시스템은 좋은데 신뢰도가 영... 떨어집니다 잘되길 빌게요,answer
류등환,3,2016년 12월 2일,no_answer,실 근로자여부 니즈 파악,no_answer
Jieun You,5,2016년 12월 2일,no_answer,최고,no_answer
으으아아,5,2016년 12월 2일,no_answer,ㆍ,no_answer
르넬레브,1,2016년 11월 29일,2016년 12월 6일,참 힘듬ㅡㅡ 이런건 솔직히 써야 리뷰아닌가. 없는 장점을 만들어서 소설이라도 써줘야 되나?,answer
최민경,2,2016년 11월 23일,2016년 12월 6일,면접후기 작성하면 다른 기업 리뷰도 볼 수 있는 거 아닌가요? 기업마다 다 일일이 리뷰를 작성해야 볼수있는건가요...;;,answer
알박,3,2016년 11월 22일,no_answer,기업리뷰 작성하고 다른기업 보고있는데 폰 바꾸고 다시 로그인하니까 리뷰를 또 쓰라고하네요 해결좀,no_answer
이석희,5,2016년 11월 22일,no_answer,좋아요,no_answer
양영일,4,2016년 11월 21일,no_answer,취준샐한테조음,no_answer
CHWITCH L,1,2016년 11월 18일,2016년 12월 6일,로딩시간이 왜케 길거나 접속이 안되는건지,answer
케이쿠딸기,1,2016년 11월 18일,2016년 12월 6일,앱 열면 로딩시간이 너무 길어요 업뎃 후에도 전혀 개선이 안되네요,answer
메리,1,2016년 11월 17일,2016년 11월 17일,리뷰 볼려니까 또 쓰라는건 뭐임? 앱에 문의창구도 없어서 여기 남김 어디 이상한데는 보이고 대기업은 안보이고 앱관리를 이따구로 하지마셈,answer
